"emp_no","first_name","last_name","title","from_date","to_date"
10001,"Georgi","Facello","Senior Engineer","1986-06-26","1999-01-01"
10004,"Chirstian","Koblick","Engineer","1986-12-01","1995-12-01"
10004,"Chirstian","Koblick","Senior Engineer","1995-12-01","1999-01-01"
10005,"Kyoichi","Maliniak","Senior Staff","1996-09-12","1999-01-01"
10005,"Kyoichi","Maliniak","Staff","1989-09-12","1996-09-12"
10006,"Anneke","Preusig","Senior Engineer","1990-08-05","1999-01-01"
10009,"Sumant","Peac","Assistant Engineer","1985-02-18","1990-02-18"
10009,"Sumant","Peac","Engineer","1990-02-18","1995-02-18"
10009,"Sumant","Peac","Senior Engineer","1995-02-18","1999-01-01"
10011,"Mary","Sluis","Staff","1990-01-22","1996-11-09"
10018,"Kazuhide","Peha","Engineer","1987-04-03","1995-04-03"
10018,"Kazuhide","Peha","Senior Engineer","1995-04-03","1999-01-01"
10019,"Lillian","Haddadi","Staff","1999-04-30","1999-01-01"
10020,"Mayuko","Warwick","Engineer","1997-12-30","1999-01-01"
10022,"Shahaf","Famili","Engineer","1999-09-03","1999-01-01"
10023,"Bojan","Montemayor","Engineer","1999-09-27","1999-01-01"
10026,"Yongqiao","Berztiss","Engineer","1995-03-20","2001-03-19"
10026,"Yongqiao","Berztiss","Senior Engineer","2001-03-19","1999-01-01"
10035,"Alain","Chappelet","Engineer","1988-09-05","1996-09-05"
10035,"Alain","Chappelet","Senior Engineer","1996-09-05","1999-01-01"
10047,"Zvonko","Nyanchama","Engineer","1989-03-31","1998-03-31"
10047,"Zvonko","Nyanchama","Senior Engineer","1998-03-31","1999-01-01"
10051,"Hidefumi","Caine","Engineer","1992-10-15","1998-10-15"
10051,"Hidefumi","Caine","Senior Engineer","1998-10-15","1999-01-01"
10053,"Sanjiv","Zschoche","Senior Staff","1994-11-13","1999-01-01"
10057,"Ebbe","Callaway","Engineer","1992-01-15","2000-01-15"
10057,"Ebbe","Callaway","Senior Engineer","2000-01-15","1999-01-01"
10058,"Berhard","McFarlin","Senior Staff","1988-04-25","1999-01-01"
10059,"Alejandro","McAlpine","Senior Staff","1991-06-26","1999-01-01"
10063,"Gino","Leonhardt","Senior Engineer","1989-04-08","1999-01-01"
10066,"Kwee","Schusler","Assistant Engineer","1986-02-26","1992-02-26"
